Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event
Paul Adams,M,24.0,185.0,98.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet
Eric Koloko,M,25.0,171.0,70.0,France,FRA,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Horse Vault
Erkki Olavi Koskinen,M,22.0,173.0,70.0,Finland,FIN,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Road Race, Individual"
"Richard ""Rick"" Nasheim",M,31.0,180.0,85.0,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey
Willy Favre,M,24.0,178.0,72.0,Switzerland,SUI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Slalom
Georgina Louise Parkes,F,19.0,181.0,67.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke
"Elizabeth ""Betty"" Baxter",F,24.0,176.0,71.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Women's Volleyball
Omar Corts Gonzlez,M,23.0,166.0,65.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars
Nao Kodaira,F,23.0,165.0,61.0,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Women's 500 metres
Fermn Ms Arranz,M,22.0,175.0,66.0,Spain,ESP,1968 Summer,1968,Summer,Mexico City,Water Polo,Water Polo Men's Water Polo
Andreas Pantelidis,M,21.0,183.0,83.0,Greece,GRE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom
Masaru Nakashige,M,40.0,176.0,70.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Pistol, 10 metres"
"Frdric Thierry Roger ""Frd"" Bousquet",M,23.0,188.0,86.0,France,FRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle
Tauno Olavi Kyhk,M,21.0,178.0,73.0,Finland,FIN,1972 Winter,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual"
Miyuki Matsuhisa-Hironaka,F,23.0,150.0,41.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around
Jeremy Daniel Greenleaf Knowles,M,22.0,175.0,75.0,Bahamas,BAH,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly
Lus Manuel Jesus Feiteira,M,23.0,178.0,58.0,Portugal,POR,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres"
Stavru Teodorov,M,29.0,174.0,77.0,Romania,ROU,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres
Shani Earl Davis,M,27.0,188.0,86.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 1,500 metres"
"Karel Neffe, Jr.",M,19.0,190.0,85.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours
Laura Campos Prieto,F,19.0,150.0,48.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise
Luke Kendall Adams,M,27.0,189.0,70.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk
Judith Zeidler (-Ungemach),F,21.0,182.0,81.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Eights
Ruana Nurjowowa,F,22.0,165.0,57.0,Turkmenistan,TKM,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight
Richard Ringer,M,27.0,182.0,62.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres"
Maki Tabata,F,27.0,162.0,55.0,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Women's 1,500 metres"
Yekaterina Yuryevna Skudina,F,23.0,168.0,56.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Three Person Keelboat
Hermann Glaser,M,29.0,187.0,80.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres"
Jerzy Pawe Jokiel,M,20.0,168.0,61.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around
Nicole Brndli-Sedoun,F,21.0,167.0,48.0,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Women's Road Race, Individual"
Charles George Karle,M,30.0,183.0,79.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxless Fours
Noora Tamminen,F,25.0,169.0,59.0,Finland,FIN,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual
Daniel Leonhard,M,23.0,170.0,68.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
Karel Novy,M,28.0,197.0,82.0,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Marie-Pierre Boudreau-Gagnon,F,29.0,165.0,55.0,Canada,CAN,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet
Sara Guido (-Salazar),F,20.0,170.0,60.0,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke
Pietro Boscaini,M,17.0,190.0,84.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Jnos Bagcs,M,23.0,167.0,67.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Lightweight
Tom Dvok,M,32.0,186.0,90.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon
Bruno Zeltner,M,25.0,190.0,70.0,Switzerland,SUI,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Two Person Dinghy
Anton Mikhaylovich Prilepov,M,20.0,186.0,96.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual
Arianna Castiglioni,F,18.0,167.0,55.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke
Viktor Jeleni,M,29.0,203.0,104.0,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo
Joanna Skowroska,F,18.0,153.0,44.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around
Andriy Oleksandrovych Hlushchenko,M,26.0,187.0,73.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Men's Olympic Distance
Stanislav Alekseyevich Pozdnyakov,M,18.0,178.0,78.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team"
Berger (Birger) Torrissen (Trrissen),M,34.0,171.0,69.0,United States,USA,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Nordic Combined,Nordic Combined Men's Individual
"Wilma Glodean Rudolph (-Ward, -Eldridge)",F,16.0,180.0,59.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 200 metres
Hadi Sepehrzad,M,25.0,186.0,100.0,Iran,IRI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon
Tania Fierro,F,16.0,165.0,52.0,Mexico,MEX,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Women's Two Person Dinghy
Flix Snchez Marcelo,M,34.0,178.0,64.0,Dominican Republic,DOM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles
Nicola Rodigari,M,28.0,171.0,71.0,Italy,ITA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres"
Maurizio Randazzo,M,28.0,180.0,74.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's epee, Individual"
Liu Chunhong,F,25.0,160.0,69.0,China,CHN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Light-Heavyweight
Angela Tama-Alupei,F,28.0,181.0,57.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Lightweight Double Sculls
Branimir Vujevi,M,25.0,183.0,85.0,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights
"Henry William Furse ""Bill"" Hoskyns",M,29.0,183.0,71.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Team"
Helge Alexander Jansson,M,23.0,188.0,88.0,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Decathlon
Rare Iulian Orzaa,M,23.0,170.0,65.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar
Dencho Todorov Denev,M,32.0,165.0,65.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
Andrey Borisovich Perlov,M,30.0,178.0,65.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 50 kilometres Walk
Jane Lisa Isakson,F,26.0,165.0,57.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 7.5 kilometres Sprint
Mohamed Abdel Fattah,M,23.0,174.0,69.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual"
"Katherine Anne ""Katy"" Sexton",F,22.0,180.0,68.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Backstroke
"William ""Bill"" Demong",M,21.0,178.0,66.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Individual
Kang Dong-Jin,M,28.0,168.0,76.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint
Jess Ortz Luis,M,26.0,181.0,71.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Individual"
Frederick Morgan Taylor,M,25.0,185.0,75.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles
Jouko Johannes Salomki,M,26.0,174.0,78.0,Finland,FIN,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
Vincenza Sicari,F,29.0,165.0,45.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon
Christine Margaret Nesbitt,F,28.0,171.0,68.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Speed Skating,"Speed Skating Women's 1,000 metres"
Leslie King,M,18.0,190.0,80.0,Trinidad and Tobago,TTO,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's Sprint
Chloe Cowen (-O'Gorman),F,27.0,183.0,78.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Heavyweight
Andreas Neitzel,M,24.0,186.0,83.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball
Seyed Mohammad Mousavi Eraghi,M,28.0,201.0,84.0,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball
ucja Bronisawa Ochmaska (-Bilska),F,19.0,166.0,60.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around
Monique Sullivan,F,27.0,167.0,50.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Sprint
Neville Merwyn Sayers,M,29.0,177.0,71.0,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Individual
Mirayda Garca Soto,F,31.0,175.0,60.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's epee, Individual"
"A. Joshua ""Josh"" West",M,27.0,207.0,105.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights
Brendan James Garard,M,24.0,176.0,74.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey
Maria Ins Jololo,F,28.0,173.0,64.0,Angola,ANG,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball
Unni Elisabeth Holmen (-Berge-),F,16.0,165.0,56.0,Norway,NOR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Balance Beam
Christoph Sahner,M,20.0,180.0,103.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Hammer Throw
Jacinto Brito Villegas,M,22.0,176.0,68.0,Mexico,MEX,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
Sergey Ivanovich Kinyakin,M,34.0,190.0,92.0,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Quadruple Sculls
Dayron Robles Planes,M,21.0,191.0,80.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles
Scott Erwood,M,20.0,178.0,79.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's BMX
Eustorgio Snchez,M,21.0,184.0,80.0,Venezuela,VEN,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football
eref nar,M,19.0,178.0,65.0,Turkey,TUR,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay
Janez Zupanc,M,21.0,179.0,84.0,Slovenia,SLO,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls
Leopold Kalesaran,M,28.0,170.0,69.0,Tengiri,INA,1960 Summer,1960,Summer,Roma,Sailing,Sailing Mixed Two Person Heavyweight Dinghy
Ian R. Peel,M,46.0,180.0,88.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Trap
Stefan Nimke,M,26.0,186.0,94.0,Germany,GER,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Sprint
Jim Gottfridsson,M,23.0,191.0,93.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball
Peter Daenens,M,23.0,175.0,60.0,Belgium,BEL,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 3,000 metres Steeplechase"
Pedro Antonio Reyes Gonzlez,M,27.0,184.0,80.0,Chile,CHI,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football
Edvard Mikayelyan,M,22.0,165.0,59.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Pommelled Horse
Amrico Simonetti Mazzarelli,M,47.0,175.0,65.0,Chile,CHI,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Team"
Gwon Sun-Cheon,M,22.0,181.0,82.0,South Korea,KOR,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's 500 metres
Katalin Kristo,F,22.0,160.0,54.0,Romania,ROU,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres"
Taniko Nakamura-Mitsukuri,F,21.0,158.0,50.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise
Kentaro Tsuda,M,30.0,168.0,63.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Halfpipe
Ellen May Gandy,F,20.0,169.0,62.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly
"Kristina ""Tina"" Peters (-Marquardt)",F,24.0,164.0,58.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey
Gnter Kaslowski,M,26.0,180.0,80.0,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's Sprint
Amarjit Singh Rana,M,20.0,175.0,63.0,India,IND,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey
Nataliya Yuryevna Ignatyeva,F,25.0,168.0,56.0,Kazakhstan,KAZ,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo
Piotr Mowlik,M,25.0,178.0,82.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football
Alfredo Valentini,M,42.0,175.0,93.0,San Marino,SMR,1988 Summer,1988,Summer,Seoul,Shooting,Shooting Mixed Trap
Hubertus Schmidt,M,44.0,183.0,78.0,Germany,GER,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Dressage, Individual"
Christina Obergfll,F,22.0,175.0,79.0,Germany,GER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw
Brittany Rogers,F,23.0,157.0,46.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars
Igor Georgiyevich Kolodinsky,M,25.0,194.0,85.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
Ryoko Takahashi,F,28.0,156.0,51.0,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay
Janine Rene Rankin,F,20.0,162.0,52.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around
Agafia Orlov-Buhaev-Constantin,F,21.0,172.0,61.0,Romania,ROU,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
"William ""Bill"" Tom",M,33.0,165.0,59.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars
Robert Wadsworth Edgren,M,32.0,195.0,102.0,United States,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Shot Put
Miguel ngel Almachi Condo,M,27.0,165.0,55.0,Ecuador,ECU,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon
"Robert Keyser ""Bob"" Schul",M,27.0,184.0,66.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres"
Vincenzo Chimirri,M,30.0,175.0,73.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team"
Guillermo Jorge Saucedo Daz,M,27.0,178.0,80.0,Argentina,ARG,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Foil, Individual"
Alejandra Purisina Ramos Snchez,F,25.0,173.0,56.0,Chile,CHI,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 1,500 metres"
Erik Hkan Pettersson (-Fglum),M,24.0,180.0,67.0,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial
"Catharina Eline Maria ""Catalien"" Neelissen",F,22.0,177.0,68.0,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours
"Rudolf ""Rudi"" Lochner",M,38.0,184.0,88.0,Germany-1,GER,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two
Emil Tahirovi,M,24.0,180.0,82.0,Slovenia,SLO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke
Jinya Nishikata,M,25.0,178.0,60.0,Japan,JPN,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Team"
Peter Alfred Charles Pokai,M,35.0,198.0,130.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball
Khaled Hussain Mahmoud,M,21.0,160.0,50.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres
Fernanda Ryff Moreira Oliveira,F,31.0,161.0,54.0,Brazil,BRA,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy
Jaroslav Sakala,M,22.0,178.0,64.0,Czechoslovakia,TCH,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Team"
Jan Smolk,M,21.0,180.0,73.0,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual"
Jari Markus Puikkonen,M,28.0,180.0,68.0,Finland,FIN,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Individual"
ukasz Drzewiski,M,20.0,185.0,77.0,Poland,POL,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle
Tor-Arne Hetland,M,28.0,186.0,79.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's Sprint
Michaela Dorfmeister,F,28.0,172.0,72.0,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Combined
Park So-Un,M,21.0,175.0,65.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
Erika Kristina Persson-Nordlander,F,27.0,174.0,73.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Archery,Archery Women's Individual
Philippe Massu,M,31.0,185.0,85.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat
Diego Hernn Cnepa,M,20.0,178.0,82.0,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
Olegario Vzquez Raa,M,33.0,157.0,63.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
Christopher Dowling,M,16.0,172.0,71.0,Malta,MLT,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle
Mariano Lpez,M,24.0,185.0,85.0,Argentina,ARG,1998 Winter,1998,Winter,Nagano,Snowboarding,Snowboarding Men's Giant Slalom
Benedicta Ajudua,F,20.0,155.0,57.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay
Irene Otieno Awino,F,30.0,162.0,58.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens
Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres
Gaston Lucien Fry,M,19.0,176.0,76.0,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 400 metres
Hanne Hegh,F,28.0,180.0,75.0,Norway,NOR,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball
Milady Tack-Fang Araya,F,19.0,160.0,57.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Individual"
Sudket Prapakamol,M,24.0,171.0,65.0,Thailand-1,THA,2004 Summer,2004,Summer,Athina,Badminton,Badminton Men's Doubles
Erik Tysse,M,31.0,190.0,70.0,Norway,NOR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk
Dmitry Anatolyevich Plotnitsky,M,27.0,191.0,83.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump
Shan Ying,F,17.0,172.0,67.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Freestyle
Tobias Schneider,M,24.0,187.0,83.0,Germany,GER,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's Team Pursuit (8 laps)
John A. Anzrah,M,29.0,176.0,70.0,Kenya,KEN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay
Hiroyuki Imai,M,23.0,166.0,58.0,Japan,JPN,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres
Fabrizio Tosini,M,32.0,182.0,99.0,Italy-2,ITA,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two
Milo Hrazdra,M,26.0,179.0,72.0,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial
Naoya Tamura,M,18.0,166.0,55.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
Inna Vasilyevna Deriglazova,F,26.0,173.0,61.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual"
Mechelle Chanai Lewis,F,27.0,168.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay
Primo Ulaga,M,21.0,176.0,60.0,Yugoslavia,YUG,1984 Winter,1984,Winter,Sarajevo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual"
Armando Herrera Montoya,M,28.0,170.0,69.0,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball
Jaroslav Bba,M,23.0,199.0,86.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump
Ken Ikeda,M,22.0,170.0,60.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars
Germn Csar Mailhos Ferriolo,M,27.0,170.0,67.0,Uruguay,URU,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Team"
Sandra Lpez Reyes,F,28.0,154.0,48.0,Mexico,MEX,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 5,000 metres"
Daniel Kunce,M,26.0,186.0,93.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey
Mark Stephen Thinggaard Hulstrm,M,26.0,181.0,92.0,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Heavyweight
Ilrey Oliver (-Sparks),F,21.0,170.0,57.0,Jamaica,JAM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 400 metres
Juliane Rita Schenk,F,25.0,173.0,64.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Singles
Maksim Eduardovich Belugin,M,28.0,197.0,115.0,Russia-2,RUS,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four
Quah Zheng Wen,M,19.0,179.0,79.0,Singapore,SGP,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Butterfly
Max Marie Camille Alexis Fresson,M,36.0,174.0,70.0,France,FRA,1948 Summer,1948,Summer,London,Equestrianism,"Equestrianism Men's Jumping, Individual"
Clare J. Henley-Halsted,F,27.0,160.0,57.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Individual"
Theo Bos,M,24.0,190.0,85.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Keirin
